97;58,26,65,26,88,39;97,76,30,41,84,80;50,19,5,37,76,19
84;25,58,72,92,6,25;7,80,79,48,34,15;7,87,30,86,65,72
67;72,50,30,55,41,84;87,85,82,91,30,30;16,82,85,66,97,44
24;29,38,17,95,33,27;60,27,13,64,34,85;59,77,91,32,57,34
51;77,80,41,86,20,31;50,68,99,92,18,87;91,21,42,9,80,60
75;52,59,87,96,18,48;82,66,35,75,63,63;80,88,94,89,78,36
64;18,40,56,23,50,80;33,75,25,22,66,99;9,82,61,44,22,14
5;48,43,62,26,11,96;96,83,16,85,20,68;27,28,55,42,52,10
54;44,48,12,12,35,79;58,94,63,25,84,11;76,33,8,15,94,71
53;74,67,79,42,69,67;37,58,92,83,58,40;6,67,41,97,19,90
58;9,36,5,83,30,40;68,27,56,32,57,57;55,63,35,15,47,78
14;17,15,69,33,39,11;96,11,16,80,8,85;55,61,77,34,21,83
28;81,11,33,8,6,46;33,70,8,55,87,30;43,92,92,48,53,43
5;88,87,15,53,92,18;58,57,81,60,34,95;86,68,59,91,19,69
94;95,77,8,40,65,95;71,65,51,34,20,20;51,8,17,79,32,80
58;17,86,5,43,18,73;22,38,84,47,16,10;9,25,84,75,47,59
95;15,77,71,65,57,40;43,16,48,24,83,50;68,32,68,95,70,83
29;67,29,35,12,11,28;97,56,23,10,42,22;43,46,70,19,27,72
53;24,88,91,62,39,19;41,83,78,10,44,52;59,6,82,5,67,46
53;33,78,95,58,80,84;48,71,47,86,12,29;97,23,25,73,41,78
68;21,48,40,80,53,78;40,79,17,12,49,99;37,45,41,52,78,73
52;10,82,85,58,81,75;32,53,68,81,26,68;79,43,24,88,16,66
96;25,93,26,78,77,31;75,79,54,98,97,78;63,50,46,28,18,92
61;93,14,83,45,95,84;47,5,72,81,89,13;80,92,32,36,35,59
70;95,59,59,65,36,66;94,53,38,70,60,11;34,91,68,56,15,59
28;84,61,98,5,16,57;17,38,22,90,73,95;97,52,8,53,81,86
41;89,59,85,33,29,64;73,49,49,37,69,14;89,25,96,52,33,29
8;89,40,31,91,67,73;61,65,54,68,79,38;43,15,44,79,17,29
73;65,32,69,69,16,37;25,19,57,12,73,86;90,40,12,64,28,20
23;81,65,49,39,84,13;97,67,54,14,63,90;20,40,94,17,93,79
5;22,12,57,92,84,72;30,13,93,9,95,24;55,37,84,42,67,79
64;12,36,65,7,59,53;37,19,6,58,14,86;44,92,17,67,55,32
5;58,91,42,80,53,64;73,48,73,73,13,52;38,31,84,20,90,53
18;12,84,31,39,20,46;87,88,53,63,28,95;22,65,55,83,85,60
34;92,20,12,67,66,92;52,33,95,99,84,37;70,20,31,69,17,12
82;24,62,21,64,85,90;17,13,28,99,17,29;25,15,59,43,55,22
67;65,27,42,61,78,75;17,5,99,21,5,52;89,90,58,74,88,44
18;21,12,71,78,72,35;51,44,60,74,59,52;32,26,35,99,20,55
80;28,47,23,69,24,24;71,80,61,72,89,22;37,77,72,53,23,21
5;17,60,28,97,35,69;54,56,91,31,9,84;19,60,40,26,44,67
6;96,24,46,42,67,32;76,72,7,71,78,18;29,34,61,42,34,96
78;37,97,11,21,14,76;30,24,90,65,88,7;44,81,72,42,49,54
19;96,28,49,66,82,27;53,86,94,21,98,89;41,77,33,24,22,51
